seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_stress_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov
252.0,0.95,0.24121492054719207,-0.09840214834460431,-0.09766360390270962,-0.002019572231088168,-0.0010636578418215389,0.06488880122208857,0.015296237580591066,2.861712018694455e6,0.2203880548684351,0.979997674739749,1.0,1.0,6.0,3.0,0.4057653639300765,1.0
3.0,0.4,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,274639.6852495555,0.18986740929299464,0.733919773034554,0.0,0.0,5.0,2.0,0.31943785193286317,1.0
3.0,0.45,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,278723.99948382407,0.19010112220658062,0.7348231746722178,0.0,0.0,5.0,2.0,0.3198310565979654,1.0
3.0,0.5,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,554103.2853791354,0.20130414183941425,0.7781276978489304,0.0,0.0,5.0,2.0,0.33867930727984846,1.0
3.0,0.55,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,875798.1000471235,0.2091319964445378,0.808385746328827,1.0,1.0,6.0,3.0,0.35184909281394594,1.0
3.0,0.6,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,910129.6898682687,0.20980319149775206,0.8109802059201345,1.0,1.0,6.0,3.0,0.35297832877300334,1.0
3.0,0.65,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,1.2805504542024299e6,0.21585885780981137,0.8343879790701921,1.0,1.0,6.0,3.0,0.363166538776761,1.0
3.0,0.7,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,3.7265330026128204e6,0.23595484414303727,0.9120676703005437,1.0,1.0,6.0,3.0,0.39697654719611897,1.0
3.0,0.75,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,4.480163793727807e6,0.2396043184407748,0.9261744691359236,1.0,1.0,6.0,3.0,0.4031165173715929,1.0
3.0,0.8,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,5.032831885045014e6,0.24193824100015682,0.9351960907056296,1.0,1.0,6.0,3.0,0.4070431691952145,1.0
3.0,0.85,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,7.134628114970339e6,0.24907746016244386,0.9627922649344786,1.0,1.0,6.0,3.0,0.41905437660659123,1.0
3.0,0.9,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,1.3282924318726102e7,0.26231791899507906,1.0139723730820829,1.0,1.0,6.0,3.0,0.44133046782125407,1.0
3.0,0.95,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,1.4748925023822325e8,0.3205901545218458,1.2392198024922798,1.0,1.0,6.0,3.0,0.5393691876484754,1.0
253.0,0.4,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,21704.19043515521,0.14887456080035474,0.6591175633600913,1.0,1.0,6.0,3.0,0.2894597684669716,1.0
253.0,0.45,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,29040.341657298242,0.15253119431279616,0.675306705130614,1.0,1.0,6.0,3.0,0.2965694337058788,1.0
253.0,0.5,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,38166.464041133,0.15604457972080626,0.6908616395453523,1.0,1.0,6.0,3.0,0.30340057880730176,1.0
253.0,0.55,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,59132.805879799664,0.16184311717870162,0.7165337077600522,1.0,1.0,6.0,3.0,0.3146747904723846,1.0
253.0,0.6,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,63361.81761450156,0.1627774208318567,0.7206701830852885,1.0,1.0,6.0,3.0,0.31649137564090646,1.0
253.0,0.65,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,69326.32770534391,0.16400233961858268,0.7260933089818847,1.0,1.0,6.0,3.0,0.3188730095915988,1.0
253.0,0.7,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,88760.4149987319,0.16741465452995388,0.7412007704427884,1.0,1.0,6.0,3.0,0.3255076413169376,1.0
253.0,0.75,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,113350.02342660751,0.17086128248001647,0.7564601472230866,1.0,1.0,6.0,3.0,0.33220898856561093,1.0
253.0,0.8,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,190273.90002015978,0.17839806069017441,0.7898279896721836,1.0,1.0,6.0,3.0,0.3468628962847734,1.0
253.0,0.85,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,258626.33940465678,0.18301973550894127,0.8102896926576479,1.0,1.0,6.0,3.0,0.3558489105223832,1.0
253.0,0.9,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,281451.26433459664,0.18431419946535244,0.8160207183226127,1.0,1.0,6.0,3.0,0.3583657625291817,1.0
253.0,0.95,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,6.3451000578233795e6,0.23895258526072777,1.0579231596649656,1.0,1.0,6.0,3.0,0.4646002623437444,1.0
4.0,0.4,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,2.6236348988571834e7,0.28028459814184825,1.1224242260479618,1.0,1.0,6.0,3.0,0.4272151604422011,1.0
4.0,0.45,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,2.84287766691604e7,0.28216542588448823,1.1299561655029218,1.0,1.0,6.0,3.0,0.4300819541624519,1.0
4.0,0.5,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,2.9781946519715797e7,0.2832609497377932,1.1343432867408165,1.0,1.0,6.0,3.0,0.4317517726321813,1.0
4.0,0.55,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,3.120463842400754e7,0.2843646102237544,1.1387629918369482,1.0,1.0,6.0,3.0,0.4334339931134687,1.0
4.0,0.6,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,3.389034775136848e7,0.2863278677231353,1.1466250284735824,1.0,1.0,6.0,3.0,0.43642642784997504,1.0
4.0,0.65,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,3.594541190962338e7,0.2877360246124318,1.152264116090601,1.0,1.0,6.0,3.0,0.43857276758957126,1.0
4.0,0.7,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,4.3380418061597735e7,0.29227954869571265,1.1704590562925088,1.0,1.0,6.0,3.0,0.4454980941436527,1.0
4.0,0.75,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,4.4798039337293684e7,0.2930638164153286,1.1735997250771666,1.0,1.0,6.0,3.0,0.44669349004441444,1.0
4.0,0.8,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,5.929750773508245e7,0.29999244691254995,1.201346032847814,1.0,1.0,6.0,3.0,0.45725424154178035,1.0
4.0,0.85,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,6.270995731692009e7,0.301394502040255,1.2069606854260284,1.0,1.0,6.0,3.0,0.45939128085932496,1.0
4.0,0.9,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,1.4637352957156044e8,0.323453977324433,1.2952997866003884,1.0,1.0,6.0,3.0,0.4930147561957451,1.0
4.0,0.95,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,2.97818476296368e8,0.34317838025709013,1.3742878859919272,1.0,1.0,6.0,3.0,0.5230790694664913,1.0
254.0,0.4,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,23393.710443789445,0.150369942742621,0.7076728181438183,1.0,1.0,6.0,3.0,0.29438602152291493,1.0
254.0,0.45,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,23924.354559408293,0.15065126902703166,0.7089967992591639,1.0,1.0,6.0,3.0,0.2949367866832052,1.0
