seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_stress_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov,mv_stress_volume,mv_ec_volume,mv_ec_volume_red,mv_fullcov,mv_redcov,mv_cwfullcov,mv_cwredcov,cw_fullcov_upper,cw_redcov_upper,mv_Mvol,mv_Mcov
4.0,0.85,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,445040.6035430462,0.19955253690409677,0.7991256147336845,1.0,1.0,6.0,3.0,0.30416180423509087,1.0,65.90068599453157,0.1579830456392009,0.8873071256264226,1.0,1.0,4.0,2.0,6.0,3.0,0.6489432638106368,1.0
4.0,0.9,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,2.7130731084614876e6,0.2319952404201053,0.9290452629279476,1.0,1.0,6.0,3.0,0.3536115951963337,1.0,81.98881083168217,0.1608851166322606,0.9036065219369382,1.0,1.0,4.0,2.0,6.0,3.0,0.6608640329946118,1.0
4.0,0.95,0.3957593957378476,-0.16034354520659932,-0.15601464650912977,-0.004338704635448371,-0.003174564062362772,0.06791182707231463,0.027910367573196093,1.2472173725788256e7,0.26344247405644783,1.0549784647864304,1.0,1.0,6.0,3.0,0.4015440718735369,1.0,122.91911562097582,0.1664068780783449,0.9346193325666893,1.0,1.0,4.0,2.0,6.0,3.0,0.6835456434187402,1.0
254.0,0.4,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,0.20246606245442145,0.05692007472827233,0.2678779346272637,0.0,0.0,3.0,1.0,0.11143499850049243,0.0,0.05720785196481755,0.10666676062348912,0.6229799240212276,1.0,1.0,4.0,2.0,6.0,3.0,0.501767883655573,1.0
254.0,0.45,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,0.5095206044987242,0.061470430469712366,0.28929287309414553,0.0,0.0,5.0,2.0,0.12034343524525683,0.0,0.07122681700830542,0.10863291436565294,0.6344631105523235,1.0,1.0,4.0,2.0,6.0,3.0,0.5110168080288302,1.0
254.0,0.5,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,1.0386702812240518,0.06522927987544543,0.30698281500285757,0.0,0.0,5.0,2.0,0.12770230432424257,1.0,0.08205501675255554,0.1099216479987118,0.6419898712424743,1.0,1.0,4.0,2.0,6.0,3.0,0.5170791009481613,1.0
254.0,0.55,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,2.6389440122558643,0.07049991984324726,0.33178756368737355,0.0,0.0,5.0,2.0,0.13802087399781507,1.0,0.09711385923184895,0.11147596412405286,0.651067748324426,1.0,1.0,4.0,2.0,6.0,3.0,0.5243907124397391,1.0
254.0,0.6,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,7.807551743381546,0.0771694990669796,0.3631760169846583,0.0,0.0,5.0,2.0,0.15107821017215375,1.0,0.12599989689595542,0.11392140133160789,0.6653501571728464,1.0,1.0,4.0,2.0,6.0,3.0,0.5358942196717497,1.0
254.0,0.65,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,19.51706605112801,0.08329213343050446,0.39199043185689125,0.0,0.0,5.0,2.0,0.16306476771578898,1.0,0.1581725976441917,0.11610085195536322,0.678079089560582,1.0,1.0,4.0,2.0,6.0,3.0,0.5461465074568235,1.0
254.0,0.7,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,55.2227106453411,0.09083347276647107,0.4274815729927033,0.0,0.0,5.0,2.0,0.17782878799522356,1.0,0.20709871682340245,0.11873786983254433,0.6934804122141084,1.0,1.0,4.0,2.0,6.0,3.0,0.5585512235245175,1.0
