seed,alpha,VE,mv_energy_volume,mv_vfe_volume,mv_vfe_cov,mm_energy_volume,mm_vfe_volume,mm_vfe_cov,cb_energy_volume,cb_vfe_volume,cb_vfe_cov,cw_energy_volume,cw_vfe_volume,cw_vfe_cov
10.0,0.5,-0.13523562376220077,0.0015510507189847847,0.2383872814759812,0.0,0.000580532467792829,0.1458422441017495,0.0,0.0019528051918992844,0.25546890792344773,0.0,0.0007041127049344211,0.14721895782607441,0.0
10.0,0.55,-0.13523562376220077,0.0016913745306349182,0.2489372998834417,0.0,0.0006948680018883254,0.15955897508164793,0.0,0.00202324752214566,0.2622418105082356,0.0,0.0008236813524918049,0.1524141871425594,0.0
10.0,0.6,-0.13523562376220077,0.0019312286409327293,0.2660032410101837,0.0,0.0010283084997913705,0.19410279726874785,0.0,0.0022673930506664735,0.28400615075708696,1.0,0.0009799637782792697,0.1688456939707993,0.0
10.0,0.65,-0.13523562376220077,0.002228332358364785,0.2857327787985418,1.0,0.0011253643531676633,0.2030563889124884,0.0,0.0024431592771614287,0.2911092765863844,1.0,0.0013329354142578192,0.2053137946635426,0.0
10.0,0.7,-0.13523562376220077,0.0025011869823123927,0.3027214264827553,1.0,0.0012210769124208214,0.21151520438564178,0.0,0.0027517552405982126,0.3150548388930002,1.0,0.001586589299165727,0.2232952832256602,0.0
10.0,0.75,-0.13523562376220077,0.002826923888467066,0.32183045501275453,1.0,0.0015648290618933548,0.23944376514356283,0.0,0.0031830303432577034,0.3323887721003583,1.0,0.0019528051918992844,0.25546890792344773,0.0
10.0,0.8,-0.13523562376220077,0.003183714232323697,0.34153649785014056,1.0,0.001845204549861363,0.26001137010979447,0.0,0.004110745789645939,0.4083053213691106,1.0,0.0022673930506664735,0.28400615075708696,1.0
10.0,0.85,-0.13523562376220077,0.003656149142996167,0.3660007986154849,1.0,0.00212131428086232,0.27878704539190796,1.0,0.005068635948431447,0.4564770680958068,1.0,0.0027517552405982126,0.3150548388930002,1.0
10.0,0.9,-0.13523562376220077,0.005440632203213131,0.44647255255295343,1.0,0.0028348862196215644,0.3222833711317017,1.0,0.005778302083658214,0.46030393936541575,1.0,0.004110745789645939,0.4083053213691106,1.0
10.0,0.95,-0.13523562376220077,0.007592846235912459,0.5274391755244133,1.0,0.005416496345694169,0.44548112588811567,1.0,0.008786922824214565,0.5579700100992854,1.0,0.005778302083658214,0.46030393936541575,1.0
15.0,0.4,-0.3181859025408631,0.006525980742006059,1.2653502414237945,1.0,0.0014387563711075733,0.5941300082747876,0.0,0.01017919198707902,1.3956904198082918,1.0,0.0025378877604542703,0.6386092509505006,1.0
15.0,0.45,-0.3181859025408631,0.008380166288656003,1.4338845212974625,1.0,0.002113638659702857,0.720117276448573,1.0,0.010840272895093461,1.432204852687647,1.0,0.0032757973895375142,0.7524809605745314,1.0
15.0,0.5,-0.3181859025408631,0.009163601680694446,1.499411923057388,1.0,0.0028479309934365394,0.8358966588610691,1.0,0.01130414941005804,1.4550033662672877,1.0,0.004201009151041043,0.8378718648005934,1.0
15.0,0.55,-0.3181859025408631,0.010477800302521397,1.603329992839991,1.0,0.003401682589503761,0.9135551116094711,1.0,0.012503314391656188,1.5088509211688519,1.0,0.00536051998164844,0.9546758994807307,1.0
15.0,0.6,-0.3181859025408631,0.01276905487669877,1.769975419125049,1.0,0.0046750507398562935,1.070979166623657,1.0,0.014989963360551152,1.7229503390112104,1.0,0.006833574654346676,1.0904429561985307,1.0
15.0,0.65,-0.3181859025408631,0.014282116033976881,1.8719064335715563,1.0,0.006407947315971373,1.2538550244142201,1.0,0.01646045765722507,1.8124233097246698,1.0,0.008366251328221996,1.2552845821065326,1.0
15.0,0.7,-0.3181859025408631,0.016508849837733805,2.012548091471847,1.0,0.00774895906341267,1.378826246066047,1.0,0.02007623659491321,2.084915209135129,1.0,0.01017919198707902,1.3956904198082918,1.0
15.0,0.75,-0.3181859025408631,0.019733342972265033,2.200331876161915,1.0,0.008955628264056811,1.4822992453451214,1.0,0.03092564292546367,2.9369225863830963,1.0,0.01130414941005804,1.4550033662672877,1.0
15.0,0.8,-0.3181859025408631,0.025635025581035156,2.5078683578874132,1.0,0.010223394180847313,1.5837455638084839,1.0,0.036402366113358196,3.270654574409855,1.0,0.014989963360551152,1.7229503390112104,1.0
15.0,0.85,-0.3181859025408631,0.039134200734953245,3.098604109526302,1.0,0.013803388187009486,1.8402664526512587,1.0,0.0529560694680805,3.8175202748787838,1.0,0.02007623659491321,2.084915209135129,1.0
15.0,0.9,-0.3181859025408631,0.0470843970175559,3.3988059109040396,1.0,0.03482746876822244,2.9231346035636565,1.0,0.06936880740019855,4.347395873455348,1.0,0.036402366113358196,3.270654574409855,1.0
15.0,0.95,-0.3181859025408631,0.07391267487715683,4.258408481226707,1.0,0.057466300496704495,3.754866303984487,1.0,0.1027630453321918,4.8524507727116655,1.0,0.06936880740019855,4.347395873455348,1.0
13.0,0.4,-0.4568658665594558,0.007865083752595668,1.5065967899411314,1.0,0.0021589652937424727,0.7893474174554425,0.0,0.010281427203122077,1.5286422664043147,1.0,0.0028142596201490085,0.7998108349612241,0.0
13.0,0.45,-0.4568658665594558,0.00902060783850907,1.6134787994796504,1.0,0.0029498268583197963,0.9226641037879577,1.0,0.010796969356131867,1.5642438422917717,1.0,0.003656847273198828,0.9325678209232063,1.0
